Timestamp (ms),Gap Error (m)
1726249096779,1.2254843041163301
1726249096797,1.199937909669309
1726249096814,1.2548974764275864
1726249096830,1.2259392309843604
1726249096848,1.253517319560467
1726249096867,1.202876991238833
1726249096893,1.2580756524939884
1726249096910,1.2329349848785807
1726249096928,1.2588224548720488
1726249096950,1.2065877613883838
1726249096965,1.2341854218936508
1726249096988,1.2092142744353027
1726249097004,1.2642935305441294
1726249097029,1.2107197916158463
1726249097043,1.2378962806578406
1726249097062,1.2131239039916806
1726249097079,1.268146206556322
1726249097097,1.2435209886332932
1726249097115,1.269733413790226
1726249097136,1.2171129976466428
1726249097161,1.272219809265751
1726249097186,1.24773550922618
1726249097208,1.2752741388070938
1726249097229,1.2217431216109365
1726249097243,1.249729726758472
1726249097262,1.2251411665754448
1726249097279,1.2803752383436158
1726249097306,1.2311963867226456
1726249097320,1.2582146560977998
1726249097339,1.2265003819775857
1726249097356,1.2816722895999733
1726249097371,1.2568240777231852
1726249097388,1.284361602517409
1726249097409,1.2344297904438788
1726249097434,1.288018789182201
1726249097453,1.2556243644159717
1726249097471,1.2831226403309475
1726249097491,1.2323872807484402
1726249097506,1.2600080525803898
1726249097525,1.2302251029730074
1726249097542,1.2844647640261542
1726249097571,1.2330491514619926
1726249097584,1.260587861225162
1726249097603,1.234740695109143
1726249097618,1.288866170268507
1726249097634,1.257731685037907
1726249097650,1.2852151802482825
1726249097669,1.2329552315299805
1726249097694,1.2880729188857543
1726249097711,1.2619737244198843
1726249097728,1.2905566732896054
1726249097749,1.2316362348774126
1726249097764,1.259251466999177
1726249097783,1.232633545528698
1726249097800,1.2878519556971488
1726249097825,1.229983441157143
1726249097840,1.2569080543278273
1726249097858,1.2300419314346014
1726249097875,1.2852108275342156
1726249097890,1.258398486122554
1726249097910,1.2855979592566138
1726249097928,1.2266963631471466
1726249097953,1.2819357957264685
1726249097969,1.2549425517575092
1726249097985,1.2825458484134753
1726249098003,1.2284257400906653
1726249098018,1.2636419195712367
1726249098037,1.2335509443174293
1726249098053,1.280437879646429
